"keyword","count","percentage"
data,37,51%
visualization,35,48%
algorithm,24,33%
rendering,22,30%
interactive,18,25%
techniques,17,23%
3d,14,19%
display,13,18%
models,13,18%
surface,12,16%
time,12,16%
model,11,15%
volume rendering,10,14%
surfaces,10,14%
sets,10,14%
structure,10,14%
space,9,12%
system,9,12%
scientific visualization,8,11%
mesh,8,11%
volume visualization,7,10%
features,7,10%
meshes,7,10%
flow,7,10%
texture,7,10%
topology,7,10%
analysis,7,10%
simulation,7,10%
algorithms,6,8%
texture mapping,6,8%
